,player,playerid,subtype,Shots Made,Total Shots,FG%,Average FG%,FG% Difference
140,A. Dosunmu,1630245,Putback Layup Shot,7.0,9.0,77.77777777777779,65.41013271254658,12.367645065231201
141,A. Dosunmu,1630245,Reverse Layup Shot,1.0,4.0,25.0,65.23393086838465,-40.23393086838465
142,A. Dosunmu,1630245,Running Dunk Shot,4.0,4.0,100.0,91.51696398565736,8.483036014342645
143,A. Dosunmu,1630245,Running Finger Roll Layup Shot,14.0,16.0,87.5,76.7796157826837,10.720384217316294
144,A. Dosunmu,1630245,Running Jump Shot,5.0,14.0,35.714285714285715,35.632052842171824,0.08223287211389163
145,A. Dosunmu,1630245,Running Layup Shot,34.0,54.0,62.96296296296296,59.5547097295744,3.408253233388564
146,A. Dosunmu,1630245,Running Pull-Up Jump Shot,2.0,3.0,66.66666666666666,36.13965874933622,30.527007917330437
147,A. Dosunmu,1630245,Running Reverse Layup Shot,4.0,6.0,66.66666666666666,66.85028296356421,-0.18361629689755432
148,A. Dosunmu,1630245,Tip Layup Shot,1.0,4.0,25.0,48.863007269564854,-23.863007269564854
149,A. Dosunmu,1630245,Turnaround Fadeaway shot,0.0,1.0,0.0,34.199880691471094,-34.199880691471094
150,A. Drummond,203083,Alley Oop Dunk Shot,15.0,16.0,93.75,87.98424970972546,5.765750290274539
151,A. Drummond,203083,Alley Oop Layup shot,4.0,6.0,66.66666666666666,64.09031610879916,2.5763505578674994
152,A. Drummond,203083,Cutting Dunk Shot,17.0,19.0,89.47368421052632,90.09392817477068,-0.6202439642443665
153,A. Drummond,203083,Cutting Finger Roll Layup Shot,2.0,2.0,100.0,79.81783739136681,20.182162608633192
154,A. Drummond,203083,Cutting Layup Shot,10.0,19.0,52.63157894736842,70.33553076619971,-17.703951818831293
155,A. Drummond,203083,Driving Dunk Shot,2.0,2.0,100.0,78.87124625983606,21.128753740163944
156,A. Drummond,203083,Driving Finger Roll Layup Shot,0.0,1.0,0.0,62.785599786476254,-62.785599786476254
157,A. Drummond,203083,Driving Floating Bank Jump Shot,2.0,3.0,66.66666666666666,49.67574935067332,16.990917315993336
158,A. Drummond,203083,Driving Floating Jump Shot,2.0,6.0,33.33333333333333,38.248881327329954,-4.915547993996626
159,A. Drummond,203083,Driving Hook Shot,2.0,2.0,100.0,36.96562291925158,63.03437708074842
160,A. Drummond,203083,Driving Layup Shot,10.0,24.0,41.66666666666667,45.01602024096154,-3.3493535742948666
161,A. Drummond,203083,Dunk Shot,12.0,18.0,66.66666666666666,84.13380015631027,-17.467133489643615
162,A. Drummond,203083,Fadeaway Jump Shot,0.0,1.0,0.0,33.9661008403559,-33.9661008403559
163,A. Drummond,203083,Floating Jump shot,3.0,5.0,60.0,40.775771321052716,19.224228678947284
164,A. Drummond,203083,Hook Shot,8.0,12.0,66.66666666666666,45.452274267381924,21.214392399284733
165,A. Drummond,203083,Jump Bank Shot,0.0,2.0,0.0,50.98262359275575,-50.98262359275575
166,A. Drummond,203083,Jump Shot,0.0,2.0,0.0,33.64356279966131,-33.64356279966131
167,A. Drummond,203083,Layup Shot,13.0,22.0,59.09090909090909,50.050333235610644,9.04057585529845
168,A. Drummond,203083,Putback Dunk Shot,4.0,4.0,100.0,91.18644081655869,8.813559183441313
169,A. Drummond,203083,Putback Layup Shot,11.0,22.0,50.0,65.41013271254658,-15.410132712546584
170,A. Drummond,203083,Reverse Layup Shot,3.0,5.0,60.0,65.23393086838465,-5.233930868384647
171,A. Drummond,203083,Running Alley Oop Dunk Shot,2.0,2.0,100.0,89.52230455297939,10.477695447020608
172,A. Drummond,203083,Running Dunk Shot,9.0,10.0,90.0,91.51696398565736,-1.5169639856573554
173,A. Drummond,203083,Running Finger Roll Layup Shot,0.0,1.0,0.0,76.7796157826837,-76.7796157826837
174,A. Drummond,203083,Running Layup Shot,3.0,5.0,60.0,59.5547097295744,0.4452902704256019
175,A. Drummond,203083,Tip Dunk Shot,6.0,6.0,100.0,84.33346026647462,15.666539733525383
176,A. Drummond,203083,Tip Layup Shot,24.0,51.0,47.05882352941176,48.863007269564854,-1.8041837401530927
177,A. Drummond,203083,Turnaround Hook Shot,6.0,11.0,54.54545454545454,43.842343892424,10.703110653030542
178,A. Drummond,203083,Turnaround Jump Shot,0.0,1.0,0.0,39.10629512709983,-39.10629512709983
179,A. Edwards,1630162,Alley Oop Dunk Shot,1.0,1.0,100.0,87.98424970972546,12.01575029027454
180,A. Edwards,1630162,Alley Oop Layup shot,2.0,2.0,100.0,64.09031610879916,35.90968389120084
181,A. Edwards,1630162,Cutting Dunk Shot,6.0,8.0,75.0,90.09392817477068,-15.093928174770681
182,A. Edwards,1630162,Cutting Finger Roll Layup Shot,2.0,3.0,66.66666666666666,79.81783739136681,-13.151170724700151
183,A. Edwards,1630162,Cutting Layup Shot,12.0,13.0,92.3076923076923,70.33553076619971,21.972161541492596
184,A. Edwards,1630162,Driving Dunk Shot,29.0,34.0,85.29411764705883,78.87124625983606,6.42287138722277
185,A. Edwards,1630162,Driving Finger Roll Layup Shot,45.0,60.0,75.0,62.785599786476254,12.214400213523746
186,A. Edwards,1630162,Driving Floating Bank Jump Shot,12.0,28.0,42.857142857142854,49.67574935067332,-6.818606493530467
187,A. Edwards,1630162,Driving Floating Jump Shot,20.0,58.0,34.48275862068966,38.248881327329954,-3.766122706640296
188,A. Edwards,1630162,Driving Hook Shot,0.0,2.0,0.0,36.96562291925158,-36.96562291925158
189,A. Edwards,1630162,Driving Layup Shot,174.0,332.0,52.40963855421686,45.01602024096154,7.393618313255324
190,A. Edwards,1630162,Driving Reverse Layup Shot,22.0,40.0,55.00000000000001,55.503298940477,-0.503298940476995
191,A. Edwards,1630162,Dunk Shot,1.0,2.0,50.0,84.13380015631027,-34.13380015631027
192,A. Edwards,1630162,Fadeaway Bank shot,0.0,1.0,0.0,52.37189825425119,-52.37189825425119
193,A. Edwards,1630162,Fadeaway Jump Shot,11.0,27.0,40.74074074074074,33.9661008403559,6.774639900384841
194,A. Edwards,1630162,Finger Roll Layup Shot,0.0,1.0,0.0,61.999433106575964,-61.999433106575964
