player,playerid,subtype,Shots Made,Total Shots,FG%
A. Caruso,1627936,Running Jump Shot,2.0,6.0,33.33333333333333
A. Caruso,1627936,Running Layup Shot,7.0,12.0,58.333333333333336
A. Caruso,1627936,Running Reverse Layup Shot,7.0,9.0,77.77777777777779
A. Caruso,1627936,Step Back Jump shot,2.0,4.0,50.0
A. Caruso,1627936,Tip Dunk Shot,1.0,2.0,50.0
A. Caruso,1627936,Tip Layup Shot,2.0,5.0,40.0
A. Caruso,1627936,Turnaround Bank shot,0.0,1.0,0.0
A. Caruso,1627936,Turnaround Fadeaway Bank Jump Shot,0.0,1.0,0.0
A. Caruso,1627936,Turnaround Fadeaway shot,1.0,2.0,50.0
A. Caruso,1627936,Turnaround Hook Shot,0.0,1.0,0.0
A. Caruso,1627936,Turnaround Jump Shot,0.0,3.0,0.0
A. Coffey,1629599,Cutting Layup Shot,1.0,4.0,25.0
A. Coffey,1629599,Driving Bank Hook Shot,2.0,2.0,100.0
A. Coffey,1629599,Driving Finger Roll Layup Shot,3.0,3.0,100.0
A. Coffey,1629599,Driving Floating Bank Jump Shot,1.0,4.0,25.0
A. Coffey,1629599,Driving Floating Jump Shot,3.0,10.0,30.0
A. Coffey,1629599,Driving Hook Shot,2.0,3.0,66.66666666666666
A. Coffey,1629599,Driving Layup Shot,6.0,16.0,37.5
A. Coffey,1629599,Driving Reverse Layup Shot,0.0,4.0,0.0
A. Coffey,1629599,Fadeaway Jump Shot,3.0,5.0,60.0
A. Coffey,1629599,Floating Jump shot,1.0,4.0,25.0
A. Coffey,1629599,Jump Shot,12.0,40.0,30.0
A. Coffey,1629599,Layup Shot,1.0,2.0,50.0
A. Coffey,1629599,Pullup Jump shot,8.0,22.0,36.36363636363637
A. Coffey,1629599,Running Dunk Shot,4.0,5.0,80.0
A. Coffey,1629599,Running Finger Roll Layup Shot,1.0,1.0,100.0
A. Coffey,1629599,Running Jump Shot,0.0,1.0,0.0
A. Coffey,1629599,Running Layup Shot,6.0,10.0,60.0
A. Coffey,1629599,Running Pull-Up Jump Shot,1.0,1.0,100.0
A. Coffey,1629599,Step Back Jump shot,0.0,2.0,0.0
A. Coffey,1629599,Tip Dunk Shot,1.0,1.0,100.0
A. Coffey,1629599,Turnaround Fadeaway shot,0.0,2.0,0.0
A. Coffey,1629599,Turnaround Jump Shot,0.0,3.0,0.0
A. Davis,203076,Alley Oop Dunk Shot,43.0,50.0,86.0
A. Davis,203076,Alley Oop Layup shot,21.0,25.0,84.0
A. Davis,203076,Cutting Dunk Shot,30.0,32.0,93.75
A. Davis,203076,Cutting Finger Roll Layup Shot,4.0,4.0,100.0
A. Davis,203076,Cutting Layup Shot,50.0,79.0,63.29113924050633
A. Davis,203076,Driving Bank Hook Shot,1.0,2.0,50.0
A. Davis,203076,Driving Dunk Shot,8.0,8.0,100.0
A. Davis,203076,Driving Finger Roll Layup Shot,3.0,5.0,60.0
A. Davis,203076,Driving Floating Bank Jump Shot,6.0,9.0,66.66666666666666
A. Davis,203076,Driving Floating Jump Shot,22.0,43.0,51.162790697674424
A. Davis,203076,Driving Hook Shot,9.0,16.0,56.25
A. Davis,203076,Driving Layup Shot,33.0,68.0,48.529411764705884
A. Davis,203076,Driving Reverse Dunk Shot,1.0,1.0,100.0
A. Davis,203076,Driving Reverse Layup Shot,6.0,11.0,54.54545454545454
A. Davis,203076,Dunk Shot,27.0,32.0,84.375
A. Davis,203076,Fadeaway Jump Shot,9.0,27.0,33.33333333333333
A. Davis,203076,Finger Roll Layup Shot,4.0,4.0,100.0
A. Davis,203076,Floating Jump shot,32.0,74.0,43.24324324324324
A. Davis,203076,Hook Bank Shot,0.0,1.0,0.0
A. Davis,203076,Hook Shot,14.0,22.0,63.63636363636363
A. Davis,203076,Jump Bank Shot,1.0,3.0,33.33333333333333
A. Davis,203076,Jump Shot,70.0,191.0,36.64921465968586
A. Davis,203076,Layup Shot,29.0,61.0,47.540983606557376
A. Davis,203076,Pullup Jump shot,18.0,40.0,45.0
A. Davis,203076,Putback Dunk Shot,12.0,12.0,100.0
A. Davis,203076,Putback Layup Shot,39.0,56.0,69.64285714285714
A. Davis,203076,Reverse Dunk Shot,1.0,1.0,100.0
A. Davis,203076,Reverse Layup Shot,3.0,4.0,75.0
A. Davis,203076,Running Alley Oop Dunk Shot,2.0,2.0,100.0
A. Davis,203076,Running Alley Oop Layup Shot,3.0,3.0,100.0
A. Davis,203076,Running Dunk Shot,30.0,31.0,96.7741935483871
A. Davis,203076,Running Finger Roll Layup Shot,2.0,4.0,50.0
A. Davis,203076,Running Jump Shot,0.0,3.0,0.0
